day	hour	value
1	1	2851
1	2	4571
1	3	4928
1	4	4190
1	5	1042
1	6	1723
1	7	1277
1	8	1913
2	1	14630
2	2	15971
2	3	32157
2	4	8773
2	5	13736
2	6	21032
2	7	15888
2	8	20494
3	1	7612
3	2	6277
3	3	1981
3	4	4707
3	5	3119
3	6	3913
3	7	2395
3	8	3907
4	1	1217
4	2	1044
4	3	518
4	4	31
4	5	62
4	6	55
4	7	40
4	8	72
5	1	49
5	2	59
5	3	28
5	4	11
5	5	1
5	6	0
5	7	2
5	8	1
6	1	9033
6	2	13457
6	3	11540
6	4	4530
6	5	1803
6	6	4860
6	7	4566
6	8	5557
7	1	4738
7	2	8432
7	3	5735
7	4	1846
7	5	362
7	6	511
7	7	347
7	8	704
8	1	447
8	2	2337
8	3	3704
8	4	484
8	5	123
8	6	874
8	7	178
8	8	472
9	1	30607
9	2	35707
9	3	33391
9	4	36098
9	5	29844
9	6	29245
9	7	23812
9	8	26544
10	1	5189
10	2	7111
10	3	5507
10	4	2662
10	5	1807
10	6	3450
10	7	2939
10	8	1759
11	1	15075
11	2	7040
11	3	10484
11	4	3058
11	5	1470
11	6	1707
11	7	3031
11	8	2889
12	1	2362
12	2	2826
12	3	2724
12	4	638
12	5	1110
12	6	786
12	7	448
12	8	1576
13	1	5684
13	2	11368
13	3	20971
13	4	3350
13	5	2874
13	6	10353
13	7	5813
13	8	24025
14	1	4172
14	2	2782
14	3	4261
14	4	603
14	5	1743
14	6	2734
14	7	1937
14	8	2387
15	1	2456
15	2	8615
15	3	5885
15	4	650
15	5	332
15	6	191
15	7	489
15	8	437
16	1	6439
16	2	4375
16	3	3399
16	4	2464
16	5	1863
16	6	1300
16	7	1340
16	8	2752
17	1	17964
17	2	15682
17	3	13052
17	4	20980
17	5	10569
17	6	6892
17	7	9634
17	8	11456
18	1	5356
18	2	12088
18	3	9081
18	4	3432
18	5	936
18	6	386
18	7	686
18	8	354
19	1	2107
19	2	4815
19	3	1959
19	4	1341
19	5	1564
19	6	651
19	7	205
19	8	290
20	1	4417
20	2	6462
20	3	4406
20	4	1066
20	5	1060
20	6	1427
20	7	1280
20	8	1378
21	1	38287
21	2	39454
21	3	29558
21	4	27013
21	5	20126
21	6	13727
21	7	15369
21	8	22925
22	1	13397
22	2	27307
22	3	9691
22	4	1062
22	5	2474
22	6	4178
22	7	7432
22	8	7765
23	1	12554
23	2	12356
23	3	8683
23	4	5857
23	5	4084
23	6	8283
23	7	6819
23	8	14764
24	1	22018
24	2	12660
24	3	9480
24	4	9733
24	5	10720
24	6	11106
24	7	9214
24	8	11117
25	1	935
25	2	847
25	3	906
25	4	161
25	5	43
25	6	50
25	7	0
25	8	108
26	1	549
26	2	1068
26	3	1430
26	4	114
26	5	88
26	6	413
26	7	58
26	8	166
27	1	0
27	2	0
27	3	0
27	4	0
27	5	4
27	6	0
27	7	0
27	8	0
28	1	8744
28	2	17449
28	3	18764
28	4	10502
28	5	2955
28	6	4110
28	7	3584
28	8	4992
29	1	2630
29	2	4321
29	3	1954
29	4	459
29	5	366
29	6	440
29	7	245
29	8	492
30	1	5327
30	2	10661
30	3	8277
30	4	1561
30	5	233
30	6	295
30	7	571
30	8	677
31	1	4401
31	2	3458
31	3	5245
31	4	1044
31	5	611
31	6	1105
31	7	629
31	8	1108
32	1	3444
32	2	3906
32	3	2299
32	4	3590
32	5	1154
32	6	1967
32	7	1116
32	8	1949
33	1	10754
33	2	11096
33	3	9976
33	4	4071
33	5	2661
33	6	2589
33	7	2690
33	8	3565